data,hora_ref,nomeEstacao,VP,AM,Nivel_Risco_Valor,Classificacao_Risco
2025-01-01,00:00:00,Campina do Barreto,0.0,,0.0,Baixo
2025-01-01,01:00:00,Campina do Barreto,0.0,,0.0,Baixo
2025-01-01,02:00:00,Campina do Barreto,0.0,,0.0,Baixo
2025-01-01,03:00:00,Campina do Barreto,0.0,,0.0,Baixo
2025-01-01,04:00:00,Campina do Barreto,0.0,,0.0,Baixo
2025-01-01,05:00:00,Campina do Barreto,0.0,2.23,0.0,Baixo
2025-01-01,06:00:00,Campina do Barreto,0.0,1.92,0.0,Baixo
2025-01-01,07:00:00,Campina do Barreto,0.0,1.62,0.0,Baixo
2025-01-01,08:00:00,Campina do Barreto,0.0,1.31,0.0,Baixo
2025-01-01,09:00:00,Campina do Barreto,0.0,1.0,0.0,Baixo
2025-01-01,10:00:00,Campina do Barreto,0.0,0.7,0.0,Baixo
2025-01-01,11:00:00,Campina do Barreto,0.0,0.39,0.0,Baixo
2025-01-01,12:00:00,Campina do Barreto,0.0,0.72,0.0,Baixo
2025-01-01,13:00:00,Campina do Barreto,0.0,1.04,0.0,Baixo
2025-01-01,14:00:00,Campina do Barreto,0.0,1.37,0.0,Baixo
2025-01-01,15:00:00,Campina do Barreto,0.0,1.7,0.0,Baixo
2025-01-01,16:00:00,Campina do Barreto,0.0,2.02,0.0,Baixo
2025-01-01,17:00:00,Campina do Barreto,0.0,2.35,0.0,Baixo
2025-01-01,18:00:00,Campina do Barreto,0.0,1.99,0.0,Baixo
2025-01-01,19:00:00,Campina do Barreto,0.0,1.64,0.0,Baixo
2025-01-01,20:00:00,Campina do Barreto,0.0,1.28,0.0,Baixo
2025-01-01,21:00:00,Campina do Barreto,0.0,0.92,0.0,Baixo
2025-01-01,22:00:00,Campina do Barreto,0.0,0.57,0.0,Baixo
2025-01-01,23:00:00,Campina do Barreto,0.0,0.21,0.0,Baixo
2025-01-02,00:00:00,Campina do Barreto,0.0,0.5,0.0,Baixo
2025-01-02,01:00:00,Campina do Barreto,0.0,0.78,0.0,Baixo
2025-01-02,02:00:00,Campina do Barreto,0.0,1.07,0.0,Baixo
2025-01-02,03:00:00,Campina do Barreto,0.0,1.36,0.0,Baixo
2025-01-02,04:00:00,Campina do Barreto,0.0,1.65,0.0,Baixo
2025-01-02,05:00:00,Campina do Barreto,0.0,1.93,0.0,Baixo
2025-01-02,06:00:00,Campina do Barreto,0.0,2.22,0.0,Baixo
2025-01-02,07:00:00,Campina do Barreto,0.0,1.92,0.0,Baixo
2025-01-02,08:00:00,Campina do Barreto,0.0,1.61,0.0,Baixo
2025-01-02,09:00:00,Campina do Barreto,0.0,1.31,0.0,Baixo
2025-01-02,10:00:00,Campina do Barreto,0.0,1.01,0.0,Baixo
2025-01-02,11:00:00,Campina do Barreto,0.0,0.7,0.0,Baixo
2025-01-02,12:00:00,Campina do Barreto,0.0,0.4,0.0,Baixo
2025-01-02,13:00:00,Campina do Barreto,0.0,0.73,0.0,Baixo
2025-01-02,14:00:00,Campina do Barreto,0.0,1.05,0.0,Baixo
2025-01-02,15:00:00,Campina do Barreto,0.0,1.38,0.0,Baixo
2025-01-02,16:00:00,Campina do Barreto,0.0,1.7,0.0,Baixo
2025-01-02,17:00:00,Campina do Barreto,0.0,2.02,0.0,Baixo
2025-01-02,18:00:00,Campina do Barreto,0.0,2.35,0.0,Baixo
2025-01-02,19:00:00,Campina do Barreto,0.0,2.0,0.0,Baixo
2025-01-02,20:00:00,Campina do Barreto,0.0,1.64,0.0,Baixo
2025-01-02,21:00:00,Campina do Barreto,0.0,1.29,0.0,Baixo
2025-01-02,22:00:00,Campina do Barreto,0.0,0.94,0.0,Baixo
2025-01-02,23:00:00,Campina do Barreto,0.0,0.58,0.0,Baixo
2025-01-03,00:00:00,Campina do Barreto,0.0,0.23,0.0,Baixo
2025-01-03,01:00:00,Campina do Barreto,0.0,0.55,0.0,Baixo
2025-01-03,02:00:00,Campina do Barreto,0.0,0.87,0.0,Baixo
2025-01-03,03:00:00,Campina do Barreto,0.0,1.2,0.0,Baixo
2025-01-03,04:00:00,Campina do Barreto,0.0,1.52,0.0,Baixo
2025-01-03,05:00:00,Campina do Barreto,0.0,1.84,0.0,Baixo
2025-01-03,06:00:00,Campina do Barreto,0.0,2.16,0.0,Baixo
2025-01-03,07:00:00,Campina do Barreto,0.0,1.87,0.0,Baixo
2025-01-03,08:00:00,Campina do Barreto,0.0,1.59,0.0,Baixo
2025-01-03,09:00:00,Campina do Barreto,0.0,1.3,0.0,Baixo
2025-01-03,10:00:00,Campina do Barreto,0.0,1.01,0.0,Baixo
2025-01-03,11:00:00,Campina do Barreto,0.0,0.73,0.0,Baixo
2025-01-03,12:00:00,Campina do Barreto,0.0,0.44,0.0,Baixo
2025-01-03,13:00:00,Campina do Barreto,0.0,0.75,0.0,Baixo
2025-01-03,14:00:00,Campina do Barreto,0.0,1.06,0.0,Baixo
2025-01-03,15:00:00,Campina do Barreto,0.0,1.38,0.0,Baixo
2025-01-03,16:00:00,Campina do Barreto,0.0,1.69,0.0,Baixo
2025-01-03,17:00:00,Campina do Barreto,0.0,2.0,0.0,Baixo
2025-01-03,18:00:00,Campina do Barreto,0.0,2.31,0.0,Baixo
2025-01-03,19:00:00,Campina do Barreto,0.0,2.02,0.0,Baixo
2025-01-03,20:00:00,Campina do Barreto,0.0,1.74,0.0,Baixo
2025-01-03,21:00:00,Campina do Barreto,0.0,1.45,0.0,Baixo
2025-01-03,22:00:00,Campina do Barreto,0.0,1.17,0.0,Baixo
2025-01-03,23:00:00,Campina do Barreto,0.0,0.88,0.0,Baixo
2025-01-04,00:00:00,Campina do Barreto,0.0,0.6,0.0,Baixo
2025-01-04,01:00:00,Campina do Barreto,0.0,0.31,0.0,Baixo
2025-01-04,02:00:00,Campina do Barreto,0.0,0.61,0.0,Baixo
